"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Active__c","LLC_BI__Advance_Rate__c","LLC_BI__Collateral_Code__c","LLC_BI__Condo_PUD__c","LLC_BI__Expire_Date__c","LLC_BI__Field_Set__c","LLC_BI__Manufactured_Home__c","LLC_BI__Regulatory_Rate__c","LLC_BI__Start_Date__c","LLC_BI__Subtype__c","LLC_BI__Type__c","LLC_BI__Icon_Background_Color__c","LLC_BI__Icon_Color__c","LLC_BI__Icon_Type__c","LLC_BI__Screen__c","LLC_BI__lookupKey__c","LLC_BI__Collateral_Configuration__c","LLC_BI__Highest_Type__c","LLC_BI__Is_Complex__c","LLC_BI__Parent_Type__c","LLC_BI__Valuation_Source__c","LLC_BI__Valuation_Type__c","LLC_BI__Auto_Update_Collateral_Value__c","LLC_BI__Primary_Valuation_Sources__c","LLC_BI__Valuation_Field_Set__c","nPortal__OA_Collateral_Image__c","LLC_BI__Category__c","LLC_BI__Leasing_Screen__c","LLC_BI__Group_Type__c","nPortal__OA_Collateral_Name__c","nPortal__OA_Collateral_Type_Display_Field_Set__c","nPortal__OA_Collateral_Type_Screen__c"
"a1xbn000001Y6tdAAC","005bn000003k2JdAAI","","Real Estate-Construction","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","","false","","2026-03-30","Construction","Real Estate","670B7B","fff","custom/custom24","a2Gbn000000hcc0EAA","a1xbn000001Y6uJAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
"a1xbn000001Y6teAAC","005bn000003k2JdAAI","","Titled-Motor Vehicle","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2026-03-30","Motor Vehicle","Titled","Ba202E","fff","custom/custom31","a2Gbn000000hcc1EAA","a1xbn000001Y6uKAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
"a1xbn000001Y6tfAAC","005bn000003k2JdAAI","","Real Estate-1-4 Family","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","","false","","2026-03-30","1-4 Family","Real Estate","670B7B","fff","custom/custom24","a2Gbn000000hcc0EAA","a1xbn000001Y6uLAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
"a1xbn000001Y6tgAAC","005bn000003k2JdAAI","","Titled-Mobile Home","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2026-03-30","Mobile Home","Titled","Ba202E","fff","custom/custom31","a2Gbn000000hcc2EAA","a1xbn000001Y6uMAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
"a1xbn000001Y6thAAC","005bn000003k2JdAAI","","Titled-Pleasure Boat","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2026-03-30","Pleasure Boat","Titled","Ba202E","fff","custom/custom31","a2Gbn000000hcc4EAA","a1xbn000001Y6uIAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
"a1xbn000001Y6tiAAC","005bn000003k2JdAAI","","Titled-Ship","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2026-03-30","Ship","Titled","Ba202E","fff","custom/custom31","a2Gbn000000hcc5EAA","a1xbn000001Y6uNAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
"a1xbn000001Y6tjAAC","005bn000003k2JdAAI","","Titled-Aircraft","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2026-03-30","Aircraft","Titled","Ba202E","fff","custom/custom31","a2Gbn000000hcc6EAA","a1xbn000001Y6uOAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
"a1xbn000001Y6tkAAC","005bn000003k2JdAAI","","Titled-Trailer","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2026-03-30","Trailer","Titled","Ba202E","fff","custom/custom31","a2Gbn000000hcc7EAA","a1xbn000001Y6uPAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
"a1xbn000001Y6tlAAC","005bn000003k2JdAAI","","Titled-Other Titled","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","LLC_BI__Manage_Collateral_Titled","false","","2026-03-30","Other Titled","Titled","Ba202E","fff","custom/custom31","a2Gbn000000hcc8EAA","a1xbn000001Y6uRAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
"a1xbn000001Y6tmAAC","005bn000003k2JdAAI","","Possessory-Savings/CDs","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","","","","","","80.0","","false","","","false","","2026-03-30","Savings/CDs","Possessory","85BE40","fff","custom/custom17","a2Gbn000000hcc9EAA","a1xbn000001Y6uSAAS","{""prodPkgEditScreen"":""723454364762362365"",""ownershipAssignmentFieldSetName"":""LLC_BI__Bulk_Ownership_Assignment"",""editCollateralScreen"":""42363993400862416"",""copyCollateralScreen"":""42363993400862416"",""collateralScreenName"":""Collateral Creation Screen"",""collateralCopyFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""collateralCloneFieldSetName"":""LLC_BI__Collateral_Creation_Screen_Configuration"",""addCollateralScreen"":""42363993400862416"",""addChildCollateralScreen"":""42363993400862416""}","","false","","","","false","","","","","a2Gbn000000hcc3EAA","","","",""
