"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Section_Resource__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","nFORCE__Optional_Configuration__c","nPortal__Portal_Header_Text__c","nPortal__Portal_Subheader_Text__c"
"a2Fbn000000C3VDEA0","","Collateral Details","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-13T17:50:21.000Z","005bn000003k2JdAAI","","a2Gbn000000hchTEAQ","false","false","false","false","false","","slide","true","false","false","true","","true","MappedSObjectScreenResource","42408547330158687","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","",""
"a2Fbn000000C3VEEA0","","Collateral Valuation","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-13T17:50:21.000Z","005bn000003k2JdAAI","","a2Gbn000000hchTEAQ","false","false","false","false","false","","slide","true","false","false","false","","true","MappedSObjectScreenResource","42770916055813452","LLC_BI__Collateral__c","false","false","","","","","false","false","","","",""
"a2Fbn000000C3VFEA0","","Pledge Details","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-13T17:50:21.000Z","005bn000003k2JdAAI","","a2Gbn000000hchTEAQ","false","false","false","false","false","","slide","true","false","false","true","","true","MappedSObjectScreenResource","42837477030719818","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","",""
"a2Fbn000000C3VGEA0","","Collateral Search Results","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-13T17:50:21.000Z","005bn000003k2JdAAI","","a2Gbn000000hchTEAQ","false","false","false","false","false","","slide","true","false","false","false","","true","MappedSObjectScreenResource","42341236978633924","LLC_BI__Collateral__c","false","false","","","","","false","false","","","",""
"a2Fbn000000C3VHEA0","","Bulk Pledge Details","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-13T17:50:21.000Z","005bn000003k2JdAAI","","a2Gbn000000hchTEAQ","false","false","false","false","false","","slide","true","false","false","false","","true","CustomSObjectListScreenResource","42922597703739427","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","",""
"a2Fbn000000C3VQEA0","","Collateral Details","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","a2Gbn000000hcc0EAA","false","false","false","false","false","","slide","true","false","false","true","","true","MappedSObjectScreenResource","42756644578938984","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","",""
"a2Fbn000000C3VREA0","","Collateral Valuation","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","a2Gbn000000hcc0EAA","false","false","false","false","false","","slide","true","false","false","false","","true","MappedSObjectScreenResource","42556818826445827","LLC_BI__Collateral__c","false","false","","","","","false","false","","","",""
"a2Fbn000000C3VSEA0","","Pledge Details","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","a2Gbn000000hcc0EAA","false","false","false","false","false","","slide","true","false","false","true","","true","MappedSObjectScreenResource","42954666193102875","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","",""
"a2Fbn000000C3VTEA0","","Collateral Search Results","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","a2Gbn000000hcc0EAA","false","false","false","false","false","","slide","true","false","false","false","","true","MappedSObjectScreenResource","4289077711468689","LLC_BI__Collateral__c","false","false","","","","","false","false","","","",""
"a2Fbn000000C3VUEA0","","Bulk Pledge Details","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","a2Gbn000000hcc0EAA","false","false","false","false","false","","slide","true","false","false","false","","true","CustomSObjectListScreenResource","42112852178994770","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false","","","",""
