"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c","AutorabitExtId__c"
"a2F78000000k8ffEAA","false","Confirm you want to recalculate forgiveness","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGKEA0","false","false","true","true","false","60.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","912391873821809234","LLC_BI__Loan__c","false","false","","","","","false","false","",""
"a2F78000000k8fgEAA","false","Headcount Details","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGKEA0","false","false","true","true","false","20.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","298477334928323424","LLC_BI__Loan__c","false","false","","","","","false","false","",""
"a2F78000000k8fhEAA","false","Eligible nonpayroll costs","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGKEA0","false","false","true","true","false","30.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","5423874782384782312","LLC_BI__Loan__c","false","false","","","","","false","false","",""
"a2F78000000k8fiEAA","false","Salary Details","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGKEA0","false","false","true","true","false","40.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","8872187348980123122","LLC_BI__Loan__c","false","false","","","","","false","false","",""
"a2F78000000k8fjEAA","false","EE's at time of loan and forgiveness applications","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGKEA0","false","false","true","true","false","15.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","7212318299389122232","LLC_BI__Loan__c","false","false","","","","","false","false","",""
"a2F78000000k8fkEAA","false","Eligible payroll costs","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGLEA0","false","false","true","true","false","10.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","7187672636721091231","LLC_BI__Loan__c","false","false","","","","","false","false","",""
"a2F78000000k8flEAA","false","EE's at time of loan and forgiveness applications","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGLEA0","false","false","true","true","false","15.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","4223897893793001923","LLC_BI__Loan__c","false","false","","","","","false","false","",""
"a2F78000000k8fmEAA","false","Eligible nonpayroll costs","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGLEA0","false","false","true","true","false","20.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","7187627810091231231","LLC_BI__Loan__c","false","false","","","","","false","false","",""
"a2F78000000k8fnEAA","false","Confirm you want to recalculate forgiveness","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGLEA0","false","false","true","true","false","30.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","21982398210910283912","LLC_BI__Loan__c","false","false","","","","","false","false","",""
"a2F78000000k8foEAA","false","Are you manually updating forgiveness data?","2022-12-01T05:30:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","0058c00000BxeO9AAJ","2025-02-10T19:49:58.000Z","","","a2G78000000IkGHEA0","false","false","true","true","false","5.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","8238974982342843123","LLC_BI__Loan__c","false","false","","","","","false","false","",""
