"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","AutorabitExtId__c"
"a2G78000000IhJbEAK","0058c00000BxeO9AAJ","false","Test Screen","2023-09-11T10:40:31.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:46.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:46.000Z","","","","false","true","test","false","a2G8c0000028EeJEAU"
"a2G78000000IhJcEAK","0058c00000BxeO9AAJ","false","Account Debt","2022-03-29T14:36:02.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:47.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:47.000Z","","","","false","true","a2G8c000002Qm5VEAS","false","a2G8c000002Qm5VEAS"
"a2G78000000IhJdEAK","0058c00000BxeO9AAJ","false","Ashok screen1","2024-07-31T05:29:05.000Z","0058c00000BxeO9AAJ","2025-03-04T08:57:05.000Z","0058c00000BxeO9AAJ","2025-03-04T08:57:05.000Z","","","","false","true","4268074159659302","false","a2G8c000002SUyEEAW"
"a2G78000000IhJeEAK","0058c00000BxeO9AAJ","false","Account Debt","2024-08-22T11:20:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:47.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:47.000Z","","","","false","true","a2GHu00000AhIxdMAF","false","a2G8c000002SW3eEAG"
"a2G78000000IhJfEAK","0058c00000BxeO9AAJ","false","Connection Roles","2020-10-12T19:27:33.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:49.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:49.000Z","","","","false","true","98y97h7qh79h2398h93","false","a2G8c000002nOe5EAE"
"a2G78000000IhJgEAK","0058c00000BxeO9AAJ","false","DisplayTest","2024-03-21T18:48:53.000Z","0058c00000DZSh1AAH","2025-02-12T01:25:50.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:50.000Z","","","","false","true","testvalue","false","a2G8c0000034fUEEAY"
"a2G78000000IhJhEAK","0058c00000BxeO9AAJ","false","Online Banking","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","false","true","a343g000000gcngAAA","false","a2G8c000002nOThEAM"
"a2G78000000IhJiEAK","0058c00000BxeO9AAJ","false","Overdraft Protection","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","false","true","a343g000000gcnhAAA","false","a2G8c000002nOTiEAM"
"a2G78000000IhJjEAK","0058c00000BxeO9AAJ","false","Loan Credit Memo","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","true","true","42976740897461876","false","a2G8c000002nOTkEAM"
"a2G78000000IhJkEAK","0058c00000BxeO9AAJ","false","Product Package Credit Memo","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","false","true","42927115042672124","false","a2G8c000002nOTlEAM"
"a2G78000000IhJlEAK","0058c00000BxeO9AAJ","false","Loan Credit Memo","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","true","true","42586807919356785","false","a2G8c000002nOTmEAM"
"a2G78000000IhJmEAK","0058c00000BxeO9AAJ","false","Small Business Credit Memo","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","true","true","42020229641177386","false","a2G8c000002nOTnEAM"
"a2G78000000IhJnEAK","0058c00000BxeO9AAJ","false","Small Business Credit Memo","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","true","true","42688202744939236","false","a2G8c000002nOToEAM"
"a2G78000000IhJoEAK","0058c00000BxeO9AAJ","false","Loan Credit Memo","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","false","true","42751544234800356","false","a2G8c000002nOTpEAM"
"a2G78000000IhJpEAK","0058c00000BxeO9AAJ","false","New Deal Credit Memo","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","true","true","42886048832086960","false","a2G8c000002nOTrEAM"
"a2G78000000IhJqEAK","0058c00000BxeO9AAJ","false","Deal Summary","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","false","true","76746535435435","false","a2G8c000002nOTtEAM"
"a2G78000000IhJrEAK","0058c00000BxeO9AAJ","false","Loan Summary","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-18T11:37:02.000Z","0058c00000BxeO9AAJ","2025-02-18T11:37:02.000Z","","","","false","true","976687686","false","a2G8c000002nOUuEAM"
"a2G78000000IhJsEAK","0058c00000BxeO9AAJ","false","Default Pledged Collateral Edit Screen","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-03-10T12:32:32.000Z","0058c00000BxeO9AAJ","2025-03-10T12:32:32.000Z","","","","false","true","42742750444485483","false","a2G8c000002nOUyEAM"
"a2G78000000IhJtEAK","0058c00000BxeO9AAJ","false","Possessory Securities","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","false","true","a343g000000gcozAAA","false","a2G8c000002nOV0EAM"
"a2G78000000IhJuEAK","0058c00000BxeO9AAJ","false","Real Estate","2024-10-30T01:27:54.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","0058c00000BxeO9AAJ","2025-02-12T01:25:48.000Z","","","","false","true","a343g000000gcp6AAA","false","a2G8c000002nOV7EAM"
